100	100	1000	6	10
96.46	90	900.06	6.9994	10.788
91.67	70.276	500.02	7.4999	9.002
54.375	70.434	300.02	9.9998	11
30.005	30.02	300.63	14.273	10.423
27.63	10.016	60.007	17.981	10.789
18.002	5.9802	10	19.999	10.569
15	6.3825	5.0105	24.991	10.001
12.5	4.0776	6.8995	27.5	9.6871
12.5	4.7336	5.4107	27.16	9.5006
7.3001	5.1955	4.8557	30	9.5
5.0002	4.5378	4.1567	34.134	9.0009
2.3	4.0943	2.7546	35	9.0486
1.0166	2.4615	3.3304	34	8.0572
1.006	3.9998	2.0019	33.98	5.2235
1	1.3841	1.9384	33.999	1.0006
1	1.3413	1.8356	33.811	1.0002
