-0.000500,2.014113,2.010995,2.016630,2.028134,2.017022,2.011688,2.021371,2.025353,2.018722,2.023410,2.023815,2.023253,2.010143,2.027017,2.019197,2.007945,2.016215,2.013578,2.025502,2.014773,2.011870,2.008300,2.021366,2.019978,2.015622,2.013031,2.003082,2.017802,2.017644,2.012925,2.017014,2.026298,2.010738,2.018114,2.023676,2.025714,2.017463,2.016563,2.010156,2.018620,2.008489,2.015619,2.011120,2.017211,2.024022,2.032671,2.025477,2.019006,2.012399,2.024785,2.016528,2.026389,2.017957,2.005975,2.011112,2.017079,2.024656,2.018918,2.019298,2.021654,2.022627,2.017946,2.016565,2.019201,2.014899,2.021620,2.012290,2.010860,2.005432,2.018541,2.016348,2.025619,2.009844,2.021040,2.010052,2.028547,2.027446,2.026699,2.007557,2.012061,2.024981,2.013296,2.026988,2.030732,2.007189,2.024933,2.017987,2.025873,2.018147,2.030335,2.033491,2.021826,2.020999,2.020387,2.009746,2.017457,2.021702,2.016396,2.023347,2.018360,2.011421,2.017672,2.019205,2.014380,2.016170,2.016854,2.018667,2.007847,2.019516,2.013656,2.023276,2.015639,2.024277,2.030384,2.027672,2.022436,2.018788,2.022439,2.015474,2.015793,2.022629,2.013975,2.012414,2.005705,2.014400,2.004063,2.028483,2.027443,2.027399,2.023535,2.013679,2.014539,2.024124,2.012098,2.012987,2.022082,2.018349,2.028416,2.019313,2.018470,2.007875,2.014448,2.020236,2.019739,2.017709,2.007059,2.010179,2.027763,2.015856,2.011939,2.015920,2.021981,2.016516,2.019712,2.026328,2.022064,2.007192,2.021770,2.012110,2.017349,2.023227,2.020345,2.024650,2.014068,2.017654,2.013425,2.023506,2.013322,2.016430,2.026454,2.016634,2.023703,2.016044,2.010348,2.019599,2.013523,2.010200,2.025296,2.016146,2.010649,2.019539,2.017480,2.013994,2.012079,2.015182,2.011783,2.014573,2.018359,2.023708,2.017050,2.024171,2.012322,2.028885,2.020923,2.010230,2.015438,2.023083,2.013957,2.015130,2.020992
-0.000490,2.013757,2.010639,2.016273,2.027775,2.016663,2.011331,2.021012,2.024994,2.018365,2.023051,2.023457,2.022894,2.009787,2.026657,2.018840,2.007589,2.015857,2.013222,2.025143,2.014415,2.011514,2.007944,2.021007,2.019621,2.015264,2.012674,2.002727,2.017444,2.017286,2.012568,2.016656,2.025937,2.010381,2.017757,2.023317,2.025354,2.017107,2.016206,2.009799,2.018263,2.008132,2.015261,2.010764,2.016854,2.023664,2.032311,2.025118,2.018647,2.012043,2.024427,2.016170,2.026030,2.017599,2.005619,2.010756,2.016721,2.024297,2.018559,2.018940,2.021295,2.022268,2.017590,2.016207,2.018843,2.014542,2.021262,2.011934,2.010504,2.005077,2.018183,2.015990,2.025260,2.009488,2.020681,2.009695,2.028186,2.027087,2.026340,2.007200,2.011705,2.024622,2.012940,2.026630,2.030372,2.006834,2.024575,2.017628,2.025514,2.017789,2.029976,2.033131,2.021468,2.020641,2.020029,2.009390,2.017099,2.021344,2.016039,2.022989,2.018001,2.011064,2.017314,2.018847,2.014023,2.015814,2.016497,2.018309,2.007492,2.019158,2.013299,2.022918,2.015281,2.023919,2.030025,2.027312,2.022078,2.018430,2.022080,2.015116,2.015435,2.022271,2.013617,2.012056,2.005350,2.014044,2.003707,2.028123,2.027084,2.027040,2.023176,2.013322,2.014181,2.023766,2.011740,2.012631,2.021723,2.017991,2.028057,2.018954,2.018114,2.007519,2.014091,2.019878,2.019380,2.017353,2.006704,2.009823,2.027404,2.015499,2.011582,2.015563,2.021622,2.016158,2.019354,2.025969,2.021706,2.006835,2.021411,2.011753,2.016992,2.022869,2.019986,2.024291,2.013711,2.017296,2.013068,2.023148,2.012965,2.016072,2.026094,2.016277,2.023344,2.015687,2.009992,2.019241,2.013166,2.009844,2.024937,2.015789,2.010293,2.019182,2.017122,2.013638,2.011723,2.014824,2.011427,2.014216,2.018001,2.023348,2.016692,2.023812,2.011966,2.028526,2.020564,2.009875,2.015081,2.022724,2.013601,2.014772,2.020634
-0.000480,2.013400,2.010282,2.015916,2.027416,2.016304,2.010973,2.020654,2.024635,2.018008,2.022693,2.023097,2.022536,2.009431,2.026298,2.018482,2.007233,2.015500,2.012866,2.024784,2.014057,2.011158,2.007588,2.020649,2.019264,2.014908,2.012316,2.002372,2.017087,2.016929,2.012212,2.016299,2.025577,2.010025,2.017400,2.022959,2.024995,2.016750,2.015848,2.009442,2.017905,2.007775,2.014903,2.010408,2.016497,2.023306,2.031951,2.024759,2.018289,2.011686,2.024068,2.015813,2.025670,2.017242,2.005264,2.010400,2.016363,2.023939,2.018201,2.018582,2.020937,2.021910,2.017233,2.015850,2.018485,2.014185,2.020903,2.011578,2.010148,2.004722,2.017825,2.015633,2.024902,2.009132,2.020323,2.009339,2.027826,2.026728,2.025981,2.006843,2.011348,2.024263,2.012584,2.026271,2.030013,2.006478,2.024217,2.017270,2.025154,2.017431,2.029616,2.032771,2.021110,2.020282,2.019670,2.009033,2.016741,2.020985,2.015682,2.022630,2.017643,2.010708,2.016956,2.018489,2.013667,2.015457,2.016139,2.017952,2.007137,2.018799,2.012942,2.022560,2.014924,2.023561,2.029666,2.026953,2.021720,2.018072,2.021722,2.014759,2.015077,2.021913,2.013260,2.011699,2.004995,2.013687,2.003351,2.027763,2.026724,2.026680,2.022818,2.012964,2.013823,2.023408,2.011383,2.012275,2.021365,2.017633,2.027699,2.018596,2.017757,2.007164,2.013734,2.019521,2.019021,2.016996,2.006349,2.009466,2.027045,2.015141,2.011226,2.015206,2.021264,2.015800,2.018995,2.025610,2.021348,2.006479,2.021052,2.011395,2.016634,2.022511,2.019627,2.023933,2.013354,2.016938,2.012710,2.022790,2.012608,2.015714,2.025734,2.015920,2.022986,2.015330,2.009635,2.018884,2.012809,2.009487,2.024579,2.015432,2.009937,2.018824,2.016765,2.013280,2.011366,2.014467,2.011071,2.013860,2.017643,2.022989,2.016334,2.023453,2.011609,2.028166,2.020205,2.009520,2.014724,2.022366,2.013245,2.014415,2.020275
-0.000470,2.013044,2.009925,2.015559,2.027057,2.015946,2.010616,2.020296,2.024276,2.017650,2.022334,2.022738,2.022177,2.009075,2.025939,2.018124,2.006877,2.015142,2.012510,2.024425,2.013699,2.010802,2.007232,2.020291,2.018906,2.014550,2.011958,2.002018,2.016729,2.016571,2.011856,2.015941,2.025217,2.009668,2.017043,2.022600,2.024635,2.016393,2.015491,2.009085,2.017548,2.007418,2.014545,2.010051,2.016139,2.022947,2.031591,2.024401,2.017930,2.011330,2.023709,2.015455,2.025311,2.016884,2.004909,2.010043,2.016005,2.023580,2.017843,2.018225,2.020579,2.021552,2.016877,2.015492,2.018127,2.013827,2.020545,2.011222,2.009792,2.004367,2.017467,2.015275,2.024543,2.008776,2.019964,2.008982,2.027466,2.026369,2.025623,2.006486,2.010992,2.023905,2.012228,2.025912,2.029654,2.006122,2.023859,2.016912,2.024795,2.017073,2.029256,2.032411,2.020752,2.019924,2.019312,2.008676,2.016383,2.020627,2.015325,2.022271,2.017284,2.010351,2.016598,2.018131,2.013310,2.015100,2.015781,2.017594,2.006782,2.018440,2.012585,2.022202,2.014567,2.023203,2.029307,2.026593,2.021361,2.017714,2.021364,2.014401,2.014719,2.021555,2.012903,2.011341,2.004640,2.013330,2.002995,2.027403,2.026365,2.026321,2.022459,2.012608,2.013465,2.023049,2.011026,2.011920,2.021006,2.017275,2.027340,2.018238,2.017400,2.006808,2.013377,2.019163,2.018662,2.016640,2.005993,2.009109,2.026686,2.014784,2.010870,2.014848,2.020905,2.015442,2.018637,2.025251,2.020991,2.006122,2.020693,2.011038,2.016276,2.022153,2.019268,2.023574,2.012997,2.016579,2.012353,2.022431,2.012251,2.015357,2.025374,2.015563,2.022628,2.014973,2.009279,2.018526,2.012453,2.009130,2.024221,2.015075,2.009581,2.018466,2.016408,2.012923,2.011010,2.014109,2.010714,2.013502,2.017285,2.022630,2.015977,2.023094,2.011253,2.027807,2.019847,2.009165,2.014367,2.022007,2.012888,2.014058,2.019917
-0.000460,2.012687,2.009569,2.015202,2.026698,2.015587,2.010259,2.019938,2.023917,2.017293,2.021975,2.022379,2.021819,2.008719,2.025579,2.017767,2.006521,2.014785,2.012154,2.024066,2.013341,2.010446,2.006876,2.019932,2.018549,2.014193,2.011600,2.001663,2.016371,2.016214,2.011499,2.015583,2.024857,2.009312,2.016686,2.022242,2.024275,2.016036,2.015134,2.008728,2.017190,2.007061,2.014187,2.009695,2.015782,2.022589,2.031230,2.024042,2.017572,2.010973,2.023350,2.015097,2.024951,2.016526,2.004554,2.009687,2.015648,2.023222,2.017485,2.017867,2.020221,2.021194,2.016520,2.015134,2.017770,2.013470,2.020187,2.010866,2.009435,2.004012,2.017110,2.014917,2.024184,2.008419,2.019606,2.008625,2.027105,2.026010,2.025264,2.006130,2.010635,2.023546,2.011872,2.025554,2.029294,2.005767,2.023501,2.016554,2.024436,2.016714,2.028896,2.032051,2.020394,2.019566,2.018953,2.008320,2.016025,2.020268,2.014968,2.021913,2.016926,2.009994,2.016240,2.017773,2.012954,2.014743,2.015424,2.017236,2.006427,2.018081,2.012228,2.021844,2.014209,2.022845,2.028948,2.026234,2.021003,2.017357,2.021005,2.014043,2.014361,2.021198,2.012545,2.010984,2.004284,2.012974,2.002639,2.027043,2.026005,2.025962,2.022100,2.012250,2.013108,2.022691,2.010668,2.011564,2.020647,2.016916,2.026981,2.017879,2.017043,2.006453,2.013021,2.018806,2.018303,2.016284,2.005638,2.008752,2.026327,2.014427,2.010514,2.014491,2.020547,2.015083,2.018280,2.024893,2.020633,2.005765,2.020334,2.010680,2.015918,2.021795,2.018909,2.023216,2.012640,2.016221,2.011996,2.022073,2.011894,2.014999,2.025015,2.015206,2.022269,2.014616,2.008923,2.018168,2.012096,2.008773,2.023863,2.014718,2.009225,2.018109,2.016051,2.012566,2.010654,2.013752,2.010358,2.013145,2.016927,2.022271,2.015619,2.022735,2.010896,2.027447,2.019488,2.008809,2.014010,2.021649,2.012532,2.013701,2.019559
-0.000450,2.012331,2.009212,2.014844,2.026339,2.015228,2.009902,2.019579,2.023558,2.016935,2.021616,2.022020,2.021460,2.008363,2.025220,2.017409,2.006165,2.014427,2.011798,2.023707,2.012983,2.010090,2.006520,2.019574,2.018192,2.013836,2.011242,2.001308,2.016013,2.015856,2.011143,2.015226,2.024496,2.008956,2.016329,2.021883,2.023916,2.015679,2.014776,2.008372,2.016833,2.006704,2.013829,2.009339,2.015425,2.022231,2.030870,2.023683,2.017214,2.010617,2.022991,2.014739,2.024592,2.016168,2.004199,2.009330,2.015290,2.022863,2.017126,2.017509,2.019863,2.020836,2.016164,2.014777,2.017412,2.013112,2.019829,2.010509,2.009079,2.003657,2.016752,2.014560,2.023825,2.008063,2.019247,2.008268,2.026745,2.025650,2.024905,2.005773,2.010279,2.023187,2.011516,2.025195,2.028935,2.005411,2.023143,2.016196,2.024077,2.016356,2.028536,2.031691,2.020036,2.019207,2.018594,2.007963,2.015667,2.019909,2.014611,2.021554,2.016568,2.009638,2.015882,2.017415,2.012597,2.014386,2.015066,2.016878,2.006072,2.017723,2.011871,2.021486,2.013852,2.022487,2.028589,2.025874,2.020645,2.016999,2.020647,2.013685,2.014004,2.020840,2.012188,2.010626,2.003929,2.012617,2.002284,2.026683,2.025645,2.025603,2.021741,2.011893,2.012750,2.022333,2.010311,2.011208,2.020289,2.016559,2.026623,2.017520,2.016686,2.006097,2.012664,2.018448,2.017945,2.015927,2.005282,2.008396,2.025968,2.014070,2.010157,2.014134,2.020188,2.014725,2.017921,2.024533,2.020275,2.005409,2.019975,2.010323,2.015561,2.021437,2.018551,2.022857,2.012284,2.015863,2.011638,2.021714,2.011537,2.014642,2.024655,2.014849,2.021911,2.014259,2.008566,2.017811,2.011739,2.008416,2.023504,2.014361,2.008869,2.017751,2.015693,2.012209,2.010298,2.013394,2.010002,2.012789,2.016569,2.021912,2.015261,2.022377,2.010540,2.027088,2.019129,2.008454,2.013653,2.021290,2.012176,2.013343,2.019201
-0.000440,2.011975,2.008856,2.014487,2.025980,2.014870,2.009545,2.019221,2.023199,2.016578,2.021257,2.021661,2.021102,2.008007,2.024860,2.017051,2.005809,2.014070,2.011442,2.023348,2.012625,2.009734,2.006164,2.019216,2.017835,2.013479,2.010884,2.000953,2.015655,2.015499,2.010787,2.014868,2.024136,2.008599,2.015972,2.021525,2.023556,2.015323,2.014419,2.008015,2.016475,2.006347,2.013471,2.008982,2.015068,2.021873,2.030510,2.023324,2.016856,2.010261,2.022633,2.014381,2.024232,2.015810,2.003843,2.008974,2.014932,2.022504,2.016768,2.017151,2.019505,2.020478,2.015807,2.014419,2.017054,2.012755,2.019470,2.010153,2.008723,2.003302,2.016394,2.014202,2.023467,2.007707,2.018889,2.007911,2.026385,2.025291,2.024547,2.005416,2.009922,2.022829,2.011159,2.024836,2.028576,2.005055,2.022785,2.015838,2.023717,2.015998,2.028176,2.031331,2.019677,2.018849,2.018236,2.007607,2.015309,2.019550,2.014254,2.021195,2.016209,2.009281,2.015524,2.017058,2.012241,2.014030,2.014709,2.016520,2.005717,2.017364,2.011514,2.021128,2.013495,2.022129,2.028230,2.025515,2.020286,2.016641,2.020288,2.013327,2.013646,2.020482,2.011831,2.010268,2.003574,2.012260,2.001928,2.026323,2.025286,2.025244,2.021383,2.011536,2.012392,2.021974,2.009954,2.010852,2.019930,2.016201,2.026264,2.017162,2.016329,2.005742,2.012307,2.018091,2.017586,2.015571,2.004927,2.008039,2.025609,2.013712,2.009801,2.013776,2.019830,2.014367,2.017563,2.024175,2.019917,2.005053,2.019616,2.009965,2.015203,2.021078,2.018192,2.022498,2.011927,2.015505,2.011281,2.021356,2.011180,2.014284,2.024295,2.014492,2.021552,2.013902,2.008209,2.017453,2.011382,2.008059,2.023146,2.014004,2.008513,2.017393,2.015336,2.011852,2.009941,2.013037,2.009646,2.012432,2.016210,2.021552,2.014903,2.022018,2.010184,2.026728,2.018771,2.008099,2.013296,2.020931,2.011820,2.012986,2.018842
-0.000430,2.011618,2.008499,2.014130,2.025621,2.014511,2.009188,2.018862,2.022839,2.016221,2.020899,2.021302,2.020743,2.007651,2.024501,2.016694,2.005453,2.013713,2.011087,2.022989,2.012267,2.009378,2.005808,2.018858,2.017478,2.013122,2.010527,2.000598,2.015298,2.015141,2.010430,2.014511,2.023776,2.008243,2.015615,2.021166,2.023197,2.014966,2.014061,2.007658,2.016118,2.005990,2.013113,2.008626,2.014710,2.021515,2.030149,2.022965,2.016497,2.009904,2.022274,2.014024,2.023873,2.015453,2.003488,2.008618,2.014574,2.022146,2.016410,2.016793,2.019146,2.020119,2.015451,2.014062,2.016695,2.012398,2.019112,2.009797,2.008366,2.002947,2.016036,2.013844,2.023108,2.007350,2.018530,2.007555,2.026024,2.024932,2.024188,2.005060,2.009565,2.022470,2.010804,2.024477,2.028217,2.004700,2.022427,2.015480,2.023358,2.015639,2.027816,2.030971,2.019319,2.018491,2.017877,2.007250,2.014950,2.019192,2.013897,2.020837,2.015851,2.008924,2.015166,2.016700,2.011884,2.013673,2.014351,2.016162,2.005361,2.017005,2.011157,2.020770,2.013137,2.021771,2.027871,2.025155,2.019928,2.016283,2.019930,2.012970,2.013288,2.020124,2.011473,2.009911,2.003219,2.011903,2.001572,2.025963,2.024927,2.024884,2.021024,2.011179,2.012034,2.021616,2.009596,2.010496,2.019572,2.015842,2.025905,2.016803,2.015973,2.005386,2.011950,2.017734,2.017227,2.015215,2.004571,2.007682,2.025250,2.013355,2.009444,2.013419,2.019472,2.014008,2.017206,2.023816,2.019559,2.004696,2.019257,2.009608,2.014845,2.020720,2.017833,2.022139,2.011570,2.015147,2.010924,2.020998,2.010823,2.013926,2.023936,2.014136,2.021194,2.013545,2.007853,2.017096,2.011026,2.007703,2.022788,2.013647,2.008156,2.017035,2.014979,2.011495,2.009585,2.012680,2.009289,2.012075,2.015852,2.021193,2.014546,2.021659,2.009828,2.026369,2.018412,2.007744,2.012939,2.020573,2.011463,2.012629,2.018484
-0.000420,2.011262,2.008143,2.013773,2.025262,2.014152,2.008831,2.018504,2.022480,2.015863,2.020540,2.020943,2.020385,2.007295,2.024142,2.016336,2.005097,2.013355,2.010731,2.022630,2.011909,2.009022,2.005452,2.018499,2.017121,2.012765,2.010169,2.000243,2.014940,2.014784,2.010074,2.014153,2.023415,2.007886,2.015258,2.020808,2.022837,2.014609,2.013704,2.007301,2.015760,2.005634,2.012755,2.008270,2.014353,2.021157,2.029789,2.022606,2.016139,2.009548,2.021915,2.013666,2.023514,2.015095,2.003133,2.008261,2.014216,2.021787,2.016051,2.016435,2.018788,2.019761,2.015094,2.013704,2.016338,2.012040,2.018754,2.009441,2.008010,2.002592,2.015678,2.013487,2.022749,2.006994,2.018172,2.007198,2.025664,2.024573,2.023830,2.004703,2.009209,2.022111,2.010447,2.024118,2.027857,2.004344,2.022069,2.015121,2.022999,2.015281,2.027456,2.030611,2.018961,2.018132,2.017519,2.006894,2.014592,2.018833,2.013540,2.020478,2.015492,2.008568,2.014808,2.016342,2.011528,2.013316,2.013994,2.015804,2.005006,2.016646,2.010800,2.020412,2.012780,2.021413,2.027512,2.024796,2.019570,2.015925,2.019571,2.012612,2.012930,2.019766,2.011116,2.009553,2.002864,2.011547,2.001216,2.025603,2.024567,2.024525,2.020665,2.010822,2.011677,2.021258,2.009239,2.010140,2.019213,2.015484,2.025546,2.016445,2.015616,2.005031,2.011593,2.017376,2.016868,2.014858,2.004216,2.007325,2.024890,2.012997,2.009088,2.013062,2.019113,2.013650,2.016847,2.023457,2.019201,2.004339,2.018898,2.009250,2.014487,2.020362,2.017474,2.021781,2.011213,2.014789,2.010566,2.020639,2.010466,2.013569,2.023576,2.013779,2.020835,2.013188,2.007497,2.016738,2.010669,2.007346,2.022429,2.013289,2.007800,2.016678,2.014622,2.011138,2.009229,2.012322,2.008933,2.011718,2.015494,2.020834,2.014188,2.021300,2.009471,2.026009,2.018053,2.007388,2.012582,2.020214,2.011107,2.012272,2.018126
-0.000410,2.010905,2.007786,2.013416,2.024903,2.013793,2.008474,2.018146,2.022121,2.015506,2.020181,2.020584,2.020026,2.006939,2.023782,2.015979,2.004741,2.012998,2.010375,2.022271,2.011551,2.008666,2.005096,2.018141,2.016763,2.012408,2.009811,1.999889,2.014582,2.014426,2.009717,2.013796,2.023055,2.007530,2.014901,2.020449,2.022477,2.014252,2.013347,2.006944,2.015403,2.005277,2.012397,2.007913,2.013996,2.020799,2.029429,2.022248,2.015780,2.009191,2.021556,2.013308,2.023154,2.014737,2.002778,2.007905,2.013858,2.021429,2.015693,2.016078,2.018430,2.019403,2.014737,2.013347,2.015979,2.011683,2.018395,2.009085,2.007654,2.002237,2.015321,2.013129,2.022391,2.006638,2.017813,2.006841,2.025304,2.024214,2.023471,2.004346,2.008852,2.021753,2.010091,2.023760,2.027498,2.003989,2.021710,2.014763,2.022640,2.014923,2.027096,2.030251,2.018603,2.017774,2.017160,2.006537,2.014234,2.018474,2.013183,2.020119,2.015134,2.008211,2.014450,2.015984,2.011171,2.012960,2.013636,2.015446,2.004651,2.016288,2.010443,2.020054,2.012422,2.021055,2.027153,2.024436,2.019211,2.015567,2.019213,2.012254,2.012573,2.019408,2.010759,2.009196,2.002509,2.011190,2.000860,2.025243,2.024208,2.024166,2.020306,2.010465,2.011319,2.020899,2.008882,2.009784,2.018855,2.015127,2.025187,2.016086,2.015259,2.004675,2.011236,2.017019,2.016509,2.014502,2.003861,2.006969,2.024531,2.012640,2.008732,2.012704,2.018755,2.013292,2.016489,2.023098,2.018844,2.003983,2.018539,2.008892,2.014129,2.020004,2.017115,2.021422,2.010856,2.014431,2.010209,2.020281,2.010109,2.013211,2.023216,2.013422,2.020477,2.012831,2.007140,2.016380,2.010312,2.006989,2.022071,2.012932,2.007444,2.016320,2.014264,2.010781,2.008872,2.011965,2.008577,2.011361,2.015136,2.020475,2.013830,2.020941,2.009115,2.025650,2.017695,2.007033,2.012225,2.019855,2.010751,2.011915,2.017768
